ORF,plate,date,row,col,distance
YOR202W,S1,11/19/11,5,16,18.2633
YOR202W,2,11/29/11,1,6,18.2472
YOR202W,S1,11/19/11,16,18,18.2375
YOR202W,S2,12/11/11,3,19,18.2359
YOR202W,TS3-37,12/02/11,12,1,18.2353
YOR202W,2,11/29/11,7,1,18.2350
YOR202W,6,11/30/11,1,8,18.2335
YOR202W,TS3-RT,12/02/11,5,1,18.2288
YOR202W,TS3-RT,12/02/11,16,24,18.2182
YOR202W,TS3-RT,12/02/11,15,1,18.2111
YOR202W,S1,11/19/11,16,10,18.2097
YOR202W,TS3-RT,12/02/11,1,8,18.1877
YOR202W,12,12/09/11,1,22,18.1826
YOR202W,S2,12/11/11,12,24,18.1696
YOR202W,9,12/09/11,16,12,18.1598
YOR202W,TS1-RT,12/01/11,1,10,18.1577
YOR202W,11,12/10/11,2,1,18.1458
YOR202W,add1,4/26/12,14,24,18.1044
YOR202W,2,11/29/11,16,6,18.0947
YOR202W,add4,4/26/12,16,1,18.0918
YOR202W,12,12/09/11,1,8,18.0790
YOR202W,TS4-37,12/02/11,16,5,18.0602
YOR202W,9,12/09/11,16,20,18.0458
YOR202W,TS3-RT,12/02/11,7,1,18.0247
YOR202W,add4,4/26/12,13,1,18.0208
YOR202W,10,12/10/11,8,1,18.0005
YOR202W,5,11/30/11,16,24,17.9897
YOR202W,TS2-RT,12/01/11,16,24,17.9789
YOR202W,7,11/30/11,10,1,17.9714
YOR202W,TS1-37,12/01/11,10,1,17.9660
YOR202W,S2,12/11/11,1,13,17.9644
YOR202W,TS4-RT,12/02/11,7,24,17.9626
YOR202W,2,11/29/11,16,16,17.9533
YOR202W,2,11/29/11,1,21,17.9207
YOR202W,S2,12/11/11,4,24,17.8965
YOR202W,S2,12/11/11,3,4,17.8942
YOR202W,rmkDM,06/19/12,12,1,17.8821
YOR202W,add1,4/26/12,1,22,17.8808
YOR202W,TS1-37,12/01/11,8,1,17.8797
YOR202W,1,11/29/11,1,11,17.8787
YOR202W,TS3-RT,12/02/11,16,5,17.8714
YOR202W,6,11/30/11,10,24,17.8692
YOR202W,S2,12/11/11,5,1,17.8414
YOR202W,add1,4/26/12,16,8,17.8319
YOR202W,9,12/09/11,12,24,17.8242
YOR202W,14,12/11/11,12,24,17.8100
YOR202W,TS3-RT,12/02/11,13,1,17.8070
YOR202W,S1,11/19/11,15,22,17.8046
YOR202W,S1,11/19/11,16,13,17.7723
YOR202W,6,11/30/11,16,1,17.7618
YOR202W,add1,4/26/12,16,24,17.7502
YOR202W,5,11/30/11,4,1,17.7238
YOR202W,S2,12/11/11,9,1,17.7173
YOR202W,add1,4/26/12,16,20,17.7086
YOR202W,TS3-37,12/02/11,1,24,17.7014
YOR202W,4,11/29/11,16,12,17.6953
YOR202W,S1,11/19/11,3,22,17.6883
YOR202W,7,11/30/11,13,1,17.6852
YOR202W,S1,11/19/11,16,15,17.6801
YOR202W,add4,4/26/12,7,24,17.6716
YOR202W,rmkDM,06/18/12,1,11,17.6590
YOR202W,4,11/29/11,16,20,17.6501
YOR202W,TS4-RT,12/02/11,1,22,17.6461
YOR202W,11,12/10/11,16,19,17.6251
YOR202W,add1,4/26/12,3,1,17.6241
YOR202W,TS1-RT,12/01/11,16,12,17.6105
YOR202W,rmkDM,06/18/12,1,1,17.6095
YOR202W,TS3-RT,12/02/11,16,3,17.6078
YOR202W,TS2-37,12/01/11,16,6,17.5916
YOR202W,TS1-37,12/01/11,12,24,17.5908
YOR202W,S2,12/11/11,3,1,17.5657
YOR202W,7,11/30/11,16,22,17.5638
YOR202W,S2,12/11/11,16,17,17.5540
YOR202W,TS4-37,12/02/11,16,15,17.5514
YOR202W,9,12/09/11,16,21,17.5465
YOR202W,12,12/09/11,6,1,17.5293
YOR202W,S1,11/19/11,16,9,17.4990
YOR202W,add1,4/26/12,16,6,17.4984
YOR202W,9,12/09/11,16,23,17.4967
YOR202W,S1,11/19/11,9,4,17.4965
YOR202W,TS1-37,12/01/11,7,1,17.4845
YOR202W,TS2-37,12/01/11,1,10,17.4797
YOR202W,8,11/30/11,16,8,17.4686
YOR202W,S2,12/11/11,13,3,17.4669
YOR202W,5,11/30/11,16,9,17.4631
YOR202W,TS1-37,12/01/11,16,4,17.4553
YOR202W,TS1-RT,12/01/11,9,1,17.4513
YOR202W,11,12/10/11,16,11,17.4508
YOR202W,2,11/29/11,1,10,17.4248
YOR202W,5,11/30/11,15,1,17.4243
YOR202W,add1,4/26/12,1,14,17.4004
YOR202W,TS1-37,12/01/11,3,1,17.3765
YOR202W,TS1-RT,12/01/11,16,15,17.3738
YOR202W,S2,12/11/11,7,1,17.3710
YOR202W,4,11/29/11,3,24,17.3699
YOR202W,TS3-37,12/02/11,6,1,17.3605
YOR202W,2,11/29/11,6,24,17.3570
YOR202W,TS1-37,12/01/11,1,12,17.3553
YOR202W,add1,4/26/12,16,1,17.3452
YOR202W,add4,4/26/12,7,1,17.3404
YOR202W,11,12/10/11,1,5,17.3381
YOR202W,6,11/30/11,1,24,17.3222
YOR202W,TS1-37,12/01/11,16,19,17.3189
YOR202W,10,12/10/11,15,24,17.3038
YOR202W,add1,4/26/12,1,4,17.3021
YOR202W,10,12/10/11,1,24,17.2861
YOR202W,TS2-RT,12/01/11,2,1,17.2698
YOR202W,5,11/30/11,16,7,17.2612
YOR202W,TS1-RT,12/01/11,8,24,17.2508
YOR202W,TS1-37,12/01/11,1,4,17.2252
YOR202W,4,11/29/11,16,10,17.2175
YOR202W,12,12/09/11,1,5,17.2173
YOR202W,TS4-RT,12/02/11,1,21,17.2162
YOR202W,12,12/09/11,2,24,17.2161
YOR202W,TS4-37,12/02/11,6,1,17.2117
YOR202W,TS1-RT,12/01/11,16,1,17.2001
YOR202W,1,11/29/11,1,23,17.1885
YOR202W,add4,4/26/12,1,10,17.1815
YOR202W,TS3-RT,12/02/11,3,1,17.1765
YOR202W,S1,11/19/11,9,1,17.1703
YOR202W,S1,11/19/11,16,4,17.1674
YOR202W,add4,4/26/12,1,4,17.1658
YOR202W,add1,4/26/12,13,24,17.1485
YOR202W,9,12/09/11,9,24,17.1430
YOR202W,add1,4/26/12,13,1,17.1427
YOR202W,TS1-RT,12/01/11,12,1,17.1343
YOR202W,rmkDM,06/19/12,10,1,17.1234
YOR202W,add1,4/26/12,1,15,17.1208
YOR202W,rmkDM,06/18/12,1,17,17.1102
YOR202W,7,11/30/11,11,1,17.0927
YOR202W,3,11/19/11,14,24,17.0918
YOR202W,9,12/09/11,1,14,17.0845
YOR202W,TS3-RT,12/02/11,1,15,17.0779
YOR202W,add4,4/26/12,16,16,17.0756
YOR202W,7,11/30/11,14,1,17.0693
YOR202W,TS2-RT,12/01/11,1,5,17.0690
YOR202W,TS2-RT,12/01/11,1,9,17.0613
YOR202W,5,11/30/11,3,1,17.0587
YOR202W,TS1-37,12/01/11,9,1,17.0421
YOR202W,TS1-37,12/01/11,5,1,17.0376
YOR202W,TS1-RT,12/01/11,16,2,17.0370
YOR202W,TS3-RT,12/02/11,15,24,17.0327
YOR202W,add1,4/26/12,1,13,17.0177
YOR202W,TS3-37,12/02/11,16,19,17.0034
YOR202W,7,11/30/11,16,14,17.0004
YOR202W,9,12/09/11,9,1,16.9884
YOR202W,9,12/09/11,5,1,16.9858
YOR202W,11,12/10/11,7,1,16.9831
YOR202W,TS4-RT,12/02/11,16,16,16.9798
YOR202W,1,11/29/11,16,14,16.9746
YOR202W,TS3-RT,12/02/11,16,20,16.9727
YOR202W,TS4-RT,12/02/11,9,1,16.9693
YOR202W,S2,12/11/11,16,15,16.9529
YOR202W,TS4-37,12/02/11,14,1,16.9483
YOR202W,9,12/09/11,1,1,16.9477
YOR202W,TS3-37,12/02/11,3,1,16.9474
YOR202W,S2,12/11/11,12,12,16.9380
YOR202W,TS4-37,12/02/11,5,1,16.9329
YOR202W,6,11/30/11,16,18,16.9301
YOR202W,add1,4/26/12,16,4,16.9273
YOR202W,4,11/29/11,16,22,16.9211
YOR202W,3,11/19/11,8,24,16.9005
YOR202W,7,11/30/11,16,10,16.8959
YOR202W,11,12/10/11,1,13,16.8939
YOR202W,TS2-RT,12/01/11,6,1,16.8932
YOR202W,7,11/30/11,12,24,16.8753
YOR202W,TS1-RT,12/01/11,1,1,16.8697
YOR202W,13,12/11/11,3,20,16.8663
YOR202W,TS1-RT,12/01/11,1,15,16.8595
YOR202W,8,11/30/11,16,13,16.8567
YOR202W,6,11/30/11,12,1,16.8216
YOR202W,10,12/10/11,12,1,16.8201
YOR202W,TS2-RT,12/01/11,16,18,16.8157
YOR202W,TS1-RT,12/01/11,1,5,16.8109
YOR202W,rmkDM,06/18/12,1,7,16.8071
YOR202W,10,12/10/11,16,24,16.8018
YOR202W,S2,12/11/11,16,23,16.8000
YOR202W,S1,11/19/11,16,12,16.7841
YOR202W,add4,4/26/12,16,17,16.7836
YOR202W,rmkDM,06/19/12,16,1,16.7725
YOR202W,S1,11/19/11,6,20,16.7717
YOR202W,add1,4/26/12,4,24,16.7701
YOR202W,10,12/10/11,13,24,16.7658
YOR202W,TS3-RT,12/02/11,1,16,16.7654
YOR202W,11,12/10/11,13,1,16.7653
YOR202W,10,12/10/11,1,3,16.7468
YOR202W,TS1-RT,12/01/11,14,24,16.7269
YOR202W,add4,4/26/12,4,24,16.7213
YOR202W,add4,4/26/12,16,22,16.7206
YOR202W,TS1-RT,12/01/11,16,6,16.7171
YOR202W,rmkDM,06/19/12,16,14,16.7037
YOR202W,S2,12/11/11,16,11,16.6974
YOR202W,TS3-37,12/02/11,9,24,16.6911
YOR202W,11,12/10/11,9,1,16.6836
YOR202W,1,11/29/11,11,1,16.6817
YOR202W,2,11/29/11,16,12,16.6757
YOR202W,9,12/09/11,16,13,16.6704
YOR202W,TS3-RT,12/02/11,16,21,16.6583
YOR202W,TS4-RT,12/02/11,15,1,16.6570
YOR202W,5,11/30/11,16,21,16.6556
YOR202W,2,11/29/11,13,1,16.6454
YOR202W,S2,12/11/11,16,1,16.6447
YOR202W,S1,11/19/11,2,22,16.6368
YOR202W,TS1-RT,12/01/11,16,3,16.6331
YOR202W,5,11/30/11,1,5,16.6273
YOR202W,S1,11/19/11,4,19,16.6149
YOR202W,TS2-37,12/01/11,1,6,16.6080
YOR202W,TS3-RT,12/02/11,1,5,16.6068
YOR202W,TS1-RT,12/01/11,8,1,16.6051
YOR202W,add4,4/26/12,1,9,16.6016
YOR202W,add4,4/26/12,15,1,16.5956
YOR202W,TS2-RT,12/01/11,7,24,16.5939
YOR202W,S2,12/11/11,1,7,16.5915
YOR202W,add4,4/26/12,3,1,16.5819
YOR202W,5,11/30/11,16,2,16.5800
YOR202W,TS3-RT,12/02/11,16,2,16.5690
YOR202W,14,12/11/11,1,24,16.5680
YOR202W,TS3-RT,12/02/11,9,1,16.5448
YOR202W,6,11/30/11,16,15,16.5407
YOR202W,2,11/29/11,1,1,16.5384
YOR202W,6,11/30/11,16,2,16.5368
YOR202W,S1,11/19/11,1,3,16.5352
YOR202W,1,11/29/11,16,20,16.5340
YOR202W,7,11/30/11,4,1,16.5335
YOR202W,TS2-RT,12/01/11,1,1,16.5265
YOR202W,10,12/10/11,16,4,16.5257
YOR202W,1,11/29/11,1,4,16.5211
YOR202W,11,12/10/11,16,21,16.5095
YOR202W,TS3-37,12/02/11,16,8,16.5038
YOR202W,10,12/10/11,15,1,16.4951
YOR202W,11,12/10/11,10,1,16.4918
YOR202W,TS3-RT,12/02/11,16,19,16.4879
YOR202W,5,11/30/11,4,24,16.4755
YOR202W,TS3-37,12/02/11,2,24,16.4726
YOR202W,5,11/30/11,14,24,16.4671
YOR202W,2,11/29/11,5,24,16.4621
YOR202W,TS2-37,12/01/11,16,14,16.4415
YOR202W,S2,12/11/11,9,24,16.4336
YOR202W,add1,4/26/12,16,21,16.4313
YOR202W,TS3-RT,12/02/11,12,24,16.4215
YOR202W,11,12/10/11,1,16,16.4125
YOR202W,S1,11/19/11,11,7,16.4088
YOR202W,3,11/19/11,13,1,16.4008
YOR202W,TS1-37,12/01/11,11,1,16.3933
YOR202W,TS4-37,12/02/11,11,1,16.3912
YOR202W,6,11/30/11,6,24,16.3891
YOR202W,9,12/09/11,1,9,16.3860
YOR202W,TS2-RT,12/01/11,6,24,16.3848
YOR202W,add4,4/26/12,16,5,16.3776
YOR202W,6,11/30/11,1,12,16.3741
YOR202W,S2,12/11/11,16,12,16.3690
YOR202W,TS4-RT,12/02/11,11,24,16.3589
YOR202W,TS4-37,12/02/11,1,11,16.3588
YOR202W,TS4-37,12/02/11,16,13,16.3559
YOR202W,TS1-37,12/01/11,8,24,16.3547
YOR202W,2,11/29/11,3,24,16.3545
YOR202W,TS1-37,12/01/11,1,3,16.3510
YOR202W,S2,12/11/11,7,8,16.3499
YOR202W,4,11/29/11,16,5,16.3478
YOR202W,10,12/10/11,14,1,16.3475
YOR202W,8,11/30/11,1,1,16.3448
YOR202W,TS1-37,12/01/11,16,12,16.3340
YOR202W,TS3-RT,12/02/11,1,9,16.3312
YOR202W,9,12/09/11,2,24,16.3302
YOR202W,S1,11/19/11,16,16,16.3273
YOR202W,S1,11/19/11,2,15,16.3265
YOR202W,TS3-RT,12/02/11,14,24,16.3234
YOR202W,add4,4/26/12,1,2,16.3181
YOR202W,TS1-RT,12/01/11,16,19,16.3172
YOR202W,TS2-RT,12/01/11,16,15,16.3113
YOR202W,rmkDM,06/18/12,1,15,16.3079
YOR202W,8,11/30/11,1,11,16.3028
YOR202W,S2,12/11/11,2,23,16.3009
YOR202W,rmkDM,06/19/12,16,6,16.2855
YOR202W,TS2-RT,12/01/11,3,1,16.2813
YOR202W,2,11/29/11,8,24,16.2706
YOR202W,TS3-RT,12/02/11,1,6,16.2552
YOR202W,3,11/19/11,16,3,16.2543
YOR202W,TS3-RT,12/02/11,1,14,16.2530
YOR202W,11,12/10/11,16,7,16.2529
YOR202W,TS3-37,12/02/11,16,13,16.2523
YOR202W,S2,12/11/11,13,9,16.2520
YOR202W,add4,4/26/12,1,6,16.2508
YOR202W,rmkDM,06/19/12,4,1,16.2503
YOR202W,S2,12/11/11,16,4,16.2278
YOR202W,TS1-37,12/01/11,1,6,16.2276
YOR202W,11,12/10/11,16,24,16.2240
YOR202W,2,11/29/11,16,17,16.2183
YOR202W,10,12/10/11,6,1,16.2177
YOR202W,3,11/19/11,8,1,16.2167
YOR202W,3,11/19/11,3,1,16.2156
YOR202W,S2,12/11/11,10,24,16.1934
YOR202W,TS1-RT,12/01/11,13,24,16.1934
YOR202W,8,11/30/11,10,24,16.1932
YOR202W,TS3-RT,12/02/11,1,22,16.1930
