Cluster 0: size = 123 (WT = 123)
Cluster 1: size = 110 (WT = 110)
Cluster 2: size = 161 (WT = 161)
Cluster 3: size = 111 (WT = 111)
Cluster 4: size = 87 (WT = 87)
ORF,plate,date,row,col,cluster
YOR202W,TS3-RT,12/02/11,16,15,0
YOR202W,TS3-RT,12/02/11,16,16,0
YOR202W,TS3-RT,12/02/11,16,17,0
YOR202W,TS3-RT,12/02/11,16,18,2
YOR202W,TS3-RT,12/02/11,16,19,0
YOR202W,TS3-RT,12/02/11,16,20,2
YOR202W,TS3-RT,12/02/11,16,21,0
YOR202W,TS3-RT,12/02/11,16,22,2
YOR202W,TS3-RT,12/02/11,16,23,0
YOR202W,TS3-RT,12/02/11,16,24,2
YOR202W,TS4-37,12/02/11,1,1,4
YOR202W,TS4-37,12/02/11,1,2,4
YOR202W,TS4-37,12/02/11,1,4,1
YOR202W,TS4-37,12/02/11,1,5,1
YOR202W,TS4-37,12/02/11,1,6,1
YOR202W,TS4-37,12/02/11,1,7,1
YOR202W,TS4-37,12/02/11,1,8,1
YOR202W,TS4-37,12/02/11,1,9,1
YOR202W,TS4-37,12/02/11,1,10,1
YOR202W,TS4-37,12/02/11,1,11,1
YOR202W,TS4-37,12/02/11,1,12,3
YOR202W,TS4-37,12/02/11,1,13,1
YOR202W,TS4-37,12/02/11,1,14,3
YOR202W,TS4-37,12/02/11,1,15,1
YOR202W,TS4-37,12/02/11,1,16,3
YOR202W,TS4-37,12/02/11,1,17,1
YOR202W,TS4-37,12/02/11,1,18,3
YOR202W,TS4-37,12/02/11,1,19,1
YOR202W,TS4-37,12/02/11,1,20,3
YOR202W,TS4-37,12/02/11,1,21,3
YOR202W,TS4-37,12/02/11,1,22,3
YOR202W,TS4-37,12/02/11,1,23,3
YOR202W,TS4-37,12/02/11,1,24,3
YOR202W,TS4-37,12/02/11,2,1,4
YOR202W,TS4-37,12/02/11,2,24,3
YOR202W,TS4-37,12/02/11,3,1,4
YOR202W,TS4-37,12/02/11,3,24,3
YOR202W,TS4-37,12/02/11,4,1,4
YOR202W,TS4-37,12/02/11,4,24,3
YOR202W,TS4-37,12/02/11,5,1,4
YOR202W,TS4-37,12/02/11,5,24,3
YOR202W,TS4-37,12/02/11,6,1,1
YOR202W,TS4-37,12/02/11,6,24,3
YOR202W,TS4-37,12/02/11,7,1,3
YOR202W,TS4-37,12/02/11,7,24,3
YOR202W,TS4-37,12/02/11,8,1,4
YOR202W,TS4-37,12/02/11,8,24,3
YOR202W,TS4-37,12/02/11,9,1,4
YOR202W,TS4-37,12/02/11,9,24,3
YOR202W,TS4-37,12/02/11,10,1,4
YOR202W,TS4-37,12/02/11,10,24,3
YOR202W,TS4-37,12/02/11,11,1,4
YOR202W,TS4-37,12/02/11,11,24,3
YOR202W,TS4-37,12/02/11,12,1,4
YOR202W,TS4-37,12/02/11,12,24,3
YOR202W,TS4-37,12/02/11,13,1,4
YOR202W,TS4-37,12/02/11,13,24,3
YOR202W,TS4-37,12/02/11,14,1,4
YOR202W,TS4-37,12/02/11,14,24,3
