ORF,plate,date,row,col,class,proba
YNL249C,add4,4/26/12,2,11,0,1.00000,0.00000
YBR118W,add4,4/26/12,2,12,0,1.00000,0.00000
YPR172W,add4,4/26/12,2,13,0,1.00000,0.00000
YPR170C,add4,4/26/12,2,14,1,0.00000,1.00000
YOR365C,add4,4/26/12,2,15,0,1.00000,0.00000
YHR176W,add4,4/26/12,2,18,0,1.00000,0.00000
YPR185W,add4,4/26/12,2,19,0,1.00000,0.00000
YDR080W,add4,4/26/12,2,20,0,1.00000,0.00000
YNL134C,add4,4/26/12,2,21,0,1.00000,0.00000
YFR011C,add4,4/26/12,2,22,0,0.99999,0.00001
YAL031C,add4,4/26/12,2,23,0,1.00000,0.00000
YBR126C,add4,4/26/12,3,2,0,0.99231,0.00769
YDL020C,add4,4/26/12,3,3,0,1.00000,0.00000
YPL182C,add4,4/26/12,3,4,0,1.00000,0.00000
YDR004W,add4,4/26/12,3,5,1,0.00000,1.00000
YNL319W,add4,4/26/12,3,6,0,1.00000,0.00000
YOR082C,add4,4/26/12,3,7,0,1.00000,0.00000
YJL199C,add4,4/26/12,3,8,0,1.00000,0.00000
YOR050C,add4,4/26/12,3,9,0,1.00000,0.00000
YNL097C,add4,4/26/12,3,10,0,1.00000,0.00000
YCL022C,add4,4/26/12,3,12,0,1.00000,0.00000
YPL018W,add4,4/26/12,3,14,0,1.00000,0.00000
YBL013W,add4,4/26/12,3,15,0,1.00000,0.00000
YPL034W,add4,4/26/12,3,16,0,1.00000,0.00000
YOL090W,add4,4/26/12,3,17,0,1.00000,0.00000
YML047C,add4,4/26/12,3,18,0,1.00000,0.00000
YPL159C,add4,4/26/12,3,19,0,1.00000,0.00000
YAL034C,add4,4/26/12,3,20,0,1.00000,0.00000
YDL026W,add4,4/26/12,3,21,0,1.00000,0.00000
YDR513W,add4,4/26/12,3,23,0,0.78232,0.21768
YFL041W,add4,4/26/12,4,2,0,1.00000,0.00000
YBL039C,add4,4/26/12,4,3,0,1.00000,0.00000
YOL037C,add4,4/26/12,4,4,0,1.00000,0.00000
YJR003C,add4,4/26/12,4,5,0,1.00000,0.00000
YOR320C,add4,4/26/12,4,7,0,1.00000,0.00000
YDL056W,add4,4/26/12,4,8,0,1.00000,0.00000
YBR122C,add4,4/26/12,4,9,0,1.00000,0.00000
YOR025W,add4,4/26/12,4,10,0,1.00000,0.00000
YGL133W,add4,4/26/12,4,11,0,1.00000,0.00000
YPR115W,add4,4/26/12,4,12,0,1.00000,0.00000
YLR001C,add4,4/26/12,4,13,0,1.00000,0.00000
YDL128W,add4,4/26/12,4,14,0,1.00000,0.00000
YLR346C,add4,4/26/12,4,15,0,1.00000,0.00000
YLR041W,add4,4/26/12,4,16,0,1.00000,0.00000
YOR161C,add4,4/26/12,4,17,0,1.00000,0.00000
YCR043C,add4,4/26/12,4,18,0,1.00000,0.00000
YNL098C,add4,4/26/12,4,19,1,0.05764,0.94236
YBR015C,add4,4/26/12,4,20,0,1.00000,0.00000
YER164W,add4,4/26/12,4,21,0,1.00000,0.00000
YGL071W,add4,4/26/12,4,22,0,1.00000,0.00000
YCL023C,add4,4/26/12,4,23,0,1.00000,0.00000
YNL117W,add4,4/26/12,5,2,0,1.00000,0.00000
YNL291C,add4,4/26/12,5,4,0,1.00000,0.00000
YOR042W,add4,4/26/12,5,5,0,1.00000,0.00000
YOR255W,add4,4/26/12,5,6,0,1.00000,0.00000
YOR360C,add4,4/26/12,5,8,0,1.00000,0.00000
YDR455C,add4,4/26/12,5,9,1,0.14421,0.85579
YNL223W,add4,4/26/12,5,10,0,1.00000,0.00000
YOR386W,add4,4/26/12,5,11,0,1.00000,0.00000
YOR129C,add4,4/26/12,5,12,0,1.00000,0.00000
YGL004C,add4,4/26/12,5,14,0,1.00000,0.00000
YFL053W,add4,4/26/12,5,15,0,1.00000,0.00000
YDR315C,add4,4/26/12,5,16,0,0.98956,0.01044
YGL080W,add4,4/26/12,5,17,0,1.00000,0.00000
YAL067C,add4,4/26/12,5,18,0,1.00000,0.00000
YDL113C,add4,4/26/12,5,19,0,1.00000,0.00000
YBL007C,add4,4/26/12,5,20,0,1.00000,0.00000
YDL161W,add4,4/26/12,5,21,0,1.00000,0.00000
YOL027C,add4,4/26/12,5,22,0,1.00000,0.00000
YOR042W,add4,4/26/12,5,23,0,1.00000,0.00000
YDL088C,add4,4/26/12,6,2,0,1.00000,0.00000
